ID Parola,POS,Gramm,Parola,No punct,Standard,Lemma,Inglese,NR06,NR94,R20,Temp
1010701550,N-,----ASM-,"Ἀσά,",Ἀσά,"Ἀσά,",Ἀσάφ,,Asa,Asa,Asa,
1010800100,N-,----NSM-,Ἀσὰφ,Ἀσὰφ,Ἀσάφ,Ἀσάφ,-,*,*,*,
1010800150,N-,----ASM-,Ἀσά,Ἀσά,Ἀσά,Ἀσάφ,,Asa,Asa,Asa,
1010800200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010800300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010800400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010800500,N-,----ASM-,"Ἰωσαφάτ,",Ἰωσαφάτ,Ἰωσαφάτ,Ἰωσαφάτ,Jehoshaphat,Giosafat,Giosafat,Giosafat,
1010800600,N-,----NSM-,Ἰωσαφὰτ,Ἰωσαφὰτ,Ἰωσαφάτ,Ἰωσαφάτ,Jehoshaphat,Giosafat,Giosafat,Giosafat,
1010800700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010800800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010800900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010801000,N-,----ASM-,"Ἰωράμ,",Ἰωράμ,Ἰωράμ,Ἰωράμ,Joram,Ieoram,Ioram,Ieoram,
1010801100,N-,----NSM-,Ἰωρὰμ,Ἰωρὰμ,Ἰωράμ,Ἰωράμ,Joram,Ieoram,Ioram,Ieoram,
1010801200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010801300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010801400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010801500,N-,----ASM-,"Ὀζίαν,",Ὀζίαν,Ὀζίαν,Ὀζίας,Uzziah,Uzzia,Uzzia,Uzzia,
1010900100,N-,----NSM-,Ὀζίας,Ὀζίας,Ὀζίας,Ὀζίας,Uzziah,Uzzia,Uzzia,Uzzia,
1010900200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010900300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010900400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010900500,N-,----ASM-,"Ἰωαθάμ,",Ἰωαθάμ,Ἰωαθάμ,Ἰωαθάμ,-,Iotam,Ioatam,Iotam,
1010900600,N-,----NSM-,Ἰωαθὰμ,Ἰωαθὰμ,Ἰωαθάμ,Ἰωαθάμ,-,Iotam,Ioatam,Iotam,
1010900700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010900800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010900900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010901000,N-,----ASM-,"Ἀχάζ,",Ἀχάζ,Ἀχάζ,Ἀχάζ,Ahaz,Acaz,Acaz,Acaz,
1010901100,N-,----NSM-,Ἀχὰζ,Ἀχὰζ,Ἀχάζ,Ἀχάζ,Ahaz,Acaz,Acaz,Acaz,
1010901200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010901300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010901400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010901500,N-,----ASM-,"Ἑζεκίαν,",Ἑζεκίαν,Ἑζεκίαν,Ἑζεκίας,-,Ezechia,Ezechia,Ezechia,
1011000100,N-,----NSM-,Ἑζεκίας,Ἑζεκίας,Ἑζεκίας,Ἑζεκίας,-,Ezechia,Ezechia,Ezechia,
1011000200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011000300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011000400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011000500,N-,----ASM-,"Μανασσῆ,",Μανασσῆ,Μανασσῆ,Μανασσῆς,Manasseh,Manasse,Manasse,Manasse,
1011000600,N-,----NSM-,Μανασσῆς,Μανασσῆς,Μανασσῆς,Μανασσῆς,Manasseh,Manasse,Manasse,Manasse,
1011000700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011000800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011000900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011001000,N-,----ASM-,"Ἀμώς,",Ἀμώς,Ἀμώς,Ἀμώς,-,*,*,*,
1011001050,N-,----ASM-,"Ἀμών,",Ἀμών,"Ἀμών,",Ἀμώς,,Amon,Amon,Amon,
1011001100,N-,----NSM-,Ἀμὼς,Ἀμὼς,Ἀμώς,Ἀμώς,-,*,*,*,
1011001150,N-,----NSM-,Ἀμών,Ἀμών,Ἀμών,Ἀμώς,,Amon,Amon,Amon,
1011001200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011001300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011001400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011001500,N-,----ASM-,"Ἰωσίαν,",Ἰωσίαν,Ἰωσίαν,Ἰωσίας,Josiah,Giosia,Giosia,Giosia,
1011100100,N-,----NSM-,Ἰωσίας,Ἰωσίας,Ἰωσίας,Ἰωσίας,Josiah,Giosia,Giosia,Giosia,
1011100200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011100300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011100400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011100500,N-,----ASM-,Ἰεχονίαν,Ἰεχονίαν,Ἰεχονίαν,Ἰεχονίας,Jechoniah,Ieconia,Ieconia,Ieconia,
1011100600,C-,--------,καὶ,καὶ,καί,καί,and,e,e,e,
1011100700,RA,----APM-,τοὺς,τοὺς,τούς,ὁ,-,i,i,i,
1011100800,N-,----APM-,ἀδελφοὺς,ἀδελφοὺς,ἀδελφούς,ἀδελφός,brother,fratelli2,fratelli2,fratelli2,
1011100900,RP,----GSM-,αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτός,same,suoi1,suoi1,suoi1,
1011101000,P-,--------,ἐπὶ,ἐπὶ,ἐπί,ἐπί,on,al tempo,al tempo,al tempo,
1011101100,RA,----GSF-,τῆς,τῆς,τῆς,ὁ,-,della,della,della,
1011101200,N-,----GSF-,μετοικεσίας,μετοικεσίας,μετοικεσίας,μετοικεσία,deportation,deportazione,deportazione,deportazione,
1011101300,N-,----GSF-,Βαβυλῶνος.,Βαβυλῶνος,Βαβυλῶνος,Βαβυλών,Babylon,in Babilonia,in Babilonia,in Babilonia,
1011200100,P-,--------,Μετὰ,Μετὰ,μετά,μετά,with,Dopo,Dopo,Dopo,
1011200200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011200300,RA,----ASF-,τὴν,τὴν,τήν,ὁ,-,la,la,la,
1011200400,N-,----ASF-,μετοικεσίαν,μετοικεσίαν,μετοικεσίαν,μετοικεσία,deportation,deportazione,deportazione,deportazione,
1011200500,N-,----GSF-,Βαβυλῶνος,Βαβυλῶνος,Βαβυλῶνος,Βαβυλών,Babylon,in Babilonia,in Babilonia,in Babilonia,
1011200600,N-,----NSM-,Ἰεχονίας,Ἰεχονίας,Ἰεχονίας,Ἰεχονίας,Jechoniah,Ieconia,Ieconia,Ieconia,
1011200700,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
